,relevent_experience,company_size,training_hours
16792,Has relevent experience,<10,37
16793,Has relevent experience,5000-9999,17
16794,Has relevent experience,500-999,178
16795,Has relevent experience,10000+,10
16796,No relevent experience,no experience,26
16797,No relevent experience,no experience,23
16798,Has relevent experience,1000-4999,101
16799,Has relevent experience,100-500,44
16800,No relevent experience,100-500,24
16801,No relevent experience,1000-4999,138
16802,No relevent experience,no experience,34
16803,Has relevent experience,10/49,20
16804,Has relevent experience,no experience,29
16805,Has relevent experience,100-500,20
16806,No relevent experience,<10,184
16807,Has relevent experience,50-99,45
16808,Has relevent experience,10/49,86
16809,No relevent experience,1000-4999,70
16810,No relevent experience,10/49,20
16811,Has relevent experience,100-500,10
16812,Has relevent experience,100-500,22
16813,Has relevent experience,100-500,20
16814,Has relevent experience,50-99,216
16815,Has relevent experience,10000+,40
16816,Has relevent experience,50-99,71
16817,Has relevent experience,100-500,22
16818,Has relevent experience,10000+,85
16819,Has relevent experience,5000-9999,62
16820,Has relevent experience,10000+,13
16821,Has relevent experience,50-99,29
16822,Has relevent experience,50-99,15
16823,Has relevent experience,no experience,48
16824,No relevent experience,no experience,18
16825,Has relevent experience,50-99,11
16826,No relevent experience,100-500,8
16827,No relevent experience,no experience,20
16828,Has relevent experience,<10,25
16829,Has relevent experience,10/49,4
16830,No relevent experience,no experience,144
16831,No relevent experience,10000+,138
16832,No relevent experience,10000+,23
16833,Has relevent experience,no experience,91
16834,Has relevent experience,100-500,58
16835,No relevent experience,10/49,123
16836,Has relevent experience,no experience,112
16837,No relevent experience,10000+,48
16838,Has relevent experience,no experience,14
16839,Has relevent experience,1000-4999,57
16840,Has relevent experience,50-99,13
16841,No relevent experience,10/49,24
16842,Has relevent experience,10000+,136
16843,Has relevent experience,5000-9999,30
16844,Has relevent experience,100-500,10
16845,Has relevent experience,50-99,140
16846,Has relevent experience,10000+,47
16847,Has relevent experience,100-500,220
16848,Has relevent experience,<10,10
16849,No relevent experience,no experience,48
16850,Has relevent experience,no experience,161
16851,Has relevent experience,10/49,61
16852,Has relevent experience,1000-4999,47
16853,Has relevent experience,10/49,52
16854,Has relevent experience,50-99,66
16855,No relevent experience,100-500,39
16856,Has relevent experience,10000+,52
16857,No relevent experience,no experience,111
16858,No relevent experience,1000-4999,95
16859,No relevent experience,no experience,112
16860,Has relevent experience,no experience,244
16861,No relevent experience,no experience,168
16862,Has relevent experience,no experience,118
16863,Has relevent experience,5000-9999,124
16864,Has relevent experience,50-99,43
16865,Has relevent experience,10000+,14
16866,Has relevent experience,10/49,254
16867,Has relevent experience,50-99,320
16868,Has relevent experience,10000+,32
16869,Has relevent experience,10000+,98
16870,Has relevent experience,50-99,2
16871,Has relevent experience,no experience,33
16872,No relevent experience,500-999,106
16873,No relevent experience,10/49,10
16874,Has relevent experience,no experience,129
16875,Has relevent experience,100-500,51
16876,Has relevent experience,<10,67
16877,Has relevent experience,<10,99
16878,Has relevent experience,50-99,23
16879,Has relevent experience,50-99,151
16880,Has relevent experience,no experience,84
16881,Has relevent experience,10000+,242
16882,Has relevent experience,10000+,220
16883,Has relevent experience,10/49,31
16884,No relevent experience,no experience,62
16885,Has relevent experience,10/49,12
16886,Has relevent experience,10/49,6
16887,Has relevent experience,100-500,22
16888,No relevent experience,no experience,13
16889,No relevent experience,10000+,25
16890,Has relevent experience,50-99,168
16891,Has relevent experience,100-500,24
16892,Has relevent experience,no experience,2
16893,Has relevent experience,10/49,42
16894,Has relevent experience,10/49,38
16895,Has relevent experience,1000-4999,90
16896,Has relevent experience,<10,7
16897,Has relevent experience,10000+,40
16898,Has relevent experience,100-500,156
16899,Has relevent experience,50-99,41
16900,Has relevent experience,50-99,194
16901,Has relevent experience,no experience,95
16902,No relevent experience,1000-4999,72
16903,No relevent experience,no experience,146
16904,Has relevent experience,10/49,7
16905,Has relevent experience,100-500,85
16906,Has relevent experience,100-500,74
16907,Has relevent experience,no experience,12
16908,No relevent experience,1000-4999,15
16909,Has relevent experience,no experience,21
16910,Has relevent experience,5000-9999,12
16911,Has relevent experience,10000+,26
16912,Has relevent experience,100-500,62
16913,Has relevent experience,50-99,79
16914,No relevent experience,no experience,111
16915,Has relevent experience,100-500,30
16916,Has relevent experience,5000-9999,22
16917,Has relevent experience,5000-9999,72
16918,Has relevent experience,50-99,71
16919,Has relevent experience,no experience,64
16920,Has relevent experience,<10,12
16921,Has relevent experience,100-500,51
16922,Has relevent experience,no experience,50
16923,Has relevent experience,<10,96
16924,Has relevent experience,<10,119
16925,Has relevent experience,50-99,105
16926,Has relevent experience,50-99,22
16927,No relevent experience,no experience,12
16928,No relevent experience,no experience,100
16929,Has relevent experience,<10,112
16930,Has relevent experience,10000+,15
16931,Has relevent experience,100-500,82
16932,Has relevent experience,no experience,18
16933,Has relevent experience,10/49,29
16934,Has relevent experience,50-99,100
16935,No relevent experience,no experience,36
16936,Has relevent experience,500-999,9
16937,Has relevent experience,50-99,222
16938,Has relevent experience,10000+,48
16939,No relevent experience,10/49,112
16940,Has relevent experience,10000+,51
16941,Has relevent experience,no experience,18
16942,Has relevent experience,no experience,278
16943,Has relevent experience,50-99,5
16944,Has relevent experience,no experience,25
16945,Has relevent experience,50-99,79
16946,Has relevent experience,100-500,90
16947,Has relevent experience,<10,134
16948,Has relevent experience,50-99,112
16949,Has relevent experience,50-99,146
16950,Has relevent experience,no experience,52
16951,Has relevent experience,10/49,80
16952,Has relevent experience,50-99,10
16953,Has relevent experience,no experience,23
16954,No relevent experience,10000+,42
16955,Has relevent experience,10000+,46
16956,No relevent experience,no experience,39
16957,Has relevent experience,10000+,48
16958,No relevent experience,no experience,29
16959,No relevent experience,no experience,39
16960,Has relevent experience,100-500,42
16961,No relevent experience,no experience,312
16962,Has relevent experience,1000-4999,150
16963,Has relevent experience,100-500,134
16964,Has relevent experience,500-999,18
16965,No relevent experience,no experience,20
16966,Has relevent experience,100-500,22
16967,No relevent experience,no experience,13
16968,No relevent experience,no experience,57
16969,No relevent experience,no experience,144
16970,Has relevent experience,no experience,50
16971,Has relevent experience,<10,62
16972,Has relevent experience,100-500,36
16973,Has relevent experience,50-99,10
16974,No relevent experience,no experience,202
16975,Has relevent experience,100-500,40
16976,No relevent experience,no experience,13
16977,Has relevent experience,10/49,80
16978,Has relevent experience,500-999,55
16979,No relevent experience,no experience,109
16980,Has relevent experience,<10,19
16981,No relevent experience,10/49,53
16982,No relevent experience,50-99,34
16983,Has relevent experience,no experience,4
16984,No relevent experience,5000-9999,33
16985,Has relevent experience,10000+,23
16986,No relevent experience,no experience,302
16987,Has relevent experience,500-999,46
16988,Has relevent experience,50-99,70
16989,Has relevent experience,100-500,43
16990,Has relevent experience,<10,214
16991,No relevent experience,no experience,52
16992,Has relevent experience,no experience,150
16993,Has relevent experience,100-500,55
16994,Has relevent experience,<10,76
16995,Has relevent experience,no experience,152
16996,No relevent experience,no experience,47
16997,Has relevent experience,10000+,17
16998,Has relevent experience,100-500,14
16999,Has relevent experience,100-500,60
17000,Has relevent experience,50-99,135
17001,Has relevent experience,<10,113
17002,No relevent experience,no experience,15
17003,Has relevent experience,100-500,39
17004,Has relevent experience,100-500,8
17005,Has relevent experience,no experience,51
17006,No relevent experience,no experience,116
17007,Has relevent experience,100-500,22
17008,Has relevent experience,50-99,248
17009,Has relevent experience,no experience,28
17010,Has relevent experience,100-500,26
17011,Has relevent experience,100-500,59
17012,No relevent experience,no experience,26
17013,Has relevent experience,10000+,62
17014,Has relevent experience,no experience,80
17015,Has relevent experience,50-99,55
17016,Has relevent experience,10000+,31
17017,Has relevent experience,1000-4999,60
17018,No relevent experience,no experience,21
17019,No relevent experience,100-500,78
17020,Has relevent experience,100-500,31
17021,Has relevent experience,10/49,12
17022,Has relevent experience,50-99,42
17023,Has relevent experience,no experience,109
17024,No relevent experience,no experience,100
17025,Has relevent experience,1000-4999,60
17026,No relevent experience,no experience,34
17027,Has relevent experience,no experience,156
17028,Has relevent experience,50-99,100
17029,Has relevent experience,50-99,8
17030,No relevent experience,no experience,21
17031,No relevent experience,no experience,44
17032,Has relevent experience,10/49,64
17033,Has relevent experience,100-500,4
17034,Has relevent experience,100-500,112
17035,Has relevent experience,<10,21
17036,Has relevent experience,no experience,17
17037,No relevent experience,no experience,76
17038,Has relevent experience,100-500,86
17039,Has relevent experience,500-999,108
17040,Has relevent experience,10000+,222
17041,Has relevent experience,50-99,114
17042,Has relevent experience,50-99,5
17043,Has relevent experience,<10,34
17044,Has relevent experience,<10,69
17045,Has relevent experience,10/49,42
17046,Has relevent experience,10/49,170
17047,Has relevent experience,50-99,334
17048,No relevent experience,no experience,25
17049,Has relevent experience,10000+,170
17050,Has relevent experience,100-500,90
17051,Has relevent experience,<10,165
17052,Has relevent experience,100-500,63
17053,Has relevent experience,no experience,76
17054,Has relevent experience,500-999,3
17055,Has relevent experience,10/49,33
17056,Has relevent experience,no experience,13
17057,No relevent experience,no experience,36
17058,Has relevent experience,50-99,14
17059,No relevent experience,50-99,20
17060,No relevent experience,no experience,41
17061,Has relevent experience,10000+,101
17062,No relevent experience,no experience,40
17063,Has relevent experience,50-99,77
17064,No relevent experience,no experience,29
17065,No relevent experience,no experience,37
17066,Has relevent experience,10/49,100
17067,No relevent experience,no experience,188
17068,Has relevent experience,50-99,46
17069,Has relevent experience,10/49,47
17070,Has relevent experience,no experience,43
17071,Has relevent experience,10000+,29
17072,Has relevent experience,50-99,165
17073,Has relevent experience,no experience,59
17074,No relevent experience,no experience,100
17075,Has relevent experience,1000-4999,2
17076,Has relevent experience,500-999,78
17077,Has relevent experience,100-500,79
17078,Has relevent experience,500-999,57
17079,Has relevent experience,1000-4999,50
17080,Has relevent experience,no experience,23
17081,No relevent experience,no experience,37
17082,No relevent experience,no experience,24
17083,Has relevent experience,1000-4999,28
17084,No relevent experience,no experience,41
17085,Has relevent experience,50-99,125
17086,Has relevent experience,<10,53
17087,Has relevent experience,10000+,32
17088,Has relevent experience,50-99,38
17089,No relevent experience,no experience,83
17090,Has relevent experience,10/49,23
17091,Has relevent experience,<10,10
17092,No relevent experience,no experience,11
17093,Has relevent experience,100-500,206
17094,Has relevent experience,10000+,56
17095,Has relevent experience,no experience,22
17096,No relevent experience,no experience,14
17097,Has relevent experience,<10,69
17098,Has relevent experience,no experience,138
17099,Has relevent experience,<10,22
17100,Has relevent experience,100-500,36
17101,Has relevent experience,50-99,30
17102,Has relevent experience,100-500,55
17103,Has relevent experience,100-500,165
17104,Has relevent experience,500-999,20
17105,Has relevent experience,50-99,134
17106,No relevent experience,50-99,304
17107,Has relevent experience,10000+,116
17108,Has relevent experience,<10,9
17109,Has relevent experience,no experience,41
17110,Has relevent experience,no experience,56
17111,Has relevent experience,5000-9999,47
17112,Has relevent experience,1000-4999,62
17113,Has relevent experience,100-500,134
17114,Has relevent experience,no experience,84
17115,Has relevent experience,1000-4999,39
17116,Has relevent experience,50-99,206
17117,No relevent experience,50-99,43
17118,No relevent experience,no experience,16
17119,No relevent experience,50-99,31
17120,Has relevent experience,10000+,50
17121,Has relevent experience,10000+,13
17122,Has relevent experience,no experience,28
17123,No relevent experience,no experience,47
17124,No relevent experience,no experience,56
17125,Has relevent experience,50-99,108
17126,Has relevent experience,50-99,23
17127,No relevent experience,no experience,35
17128,No relevent experience,no experience,5
17129,Has relevent experience,10/49,58
17130,Has relevent experience,100-500,138
17131,Has relevent experience,<10,27
17132,No relevent experience,10000+,11
17133,No relevent experience,no experience,22
17134,Has relevent experience,10000+,14
17135,No relevent experience,50-99,17
17136,No relevent experience,1000-4999,188
17137,Has relevent experience,100-500,5
17138,Has relevent experience,50-99,86
17139,No relevent experience,no experience,57
17140,Has relevent experience,no experience,13
17141,No relevent experience,no experience,52
17142,Has relevent experience,50-99,4
17143,No relevent experience,100-500,13
17144,Has relevent experience,<10,103
17145,No relevent experience,no experience,59
17146,No relevent experience,no experience,87
17147,No relevent experience,10/49,103
17148,No relevent experience,50-99,9
17149,Has relevent experience,50-99,54
17150,No relevent experience,50-99,70
17151,Has relevent experience,50-99,35
17152,Has relevent experience,500-999,57
17153,No relevent experience,no experience,9
17154,No relevent experience,no experience,132
17155,Has relevent experience,500-999,12
17156,Has relevent experience,50-99,55
17157,Has relevent experience,50-99,57
17158,No relevent experience,no experience,12
17159,Has relevent experience,100-500,48
17160,No relevent experience,no experience,138
17161,Has relevent experience,100-500,20
17162,No relevent experience,no experience,31
17163,Has relevent experience,100-500,61
17164,Has relevent experience,10/49,78
17165,Has relevent experience,10/49,34
17166,Has relevent experience,50-99,80
17167,Has relevent experience,50-99,24
17168,Has relevent experience,50-99,50
17169,Has relevent experience,100-500,9
17170,Has relevent experience,<10,46
17171,No relevent experience,no experience,28
17172,No relevent experience,no experience,326
17173,Has relevent experience,100-500,39
17174,No relevent experience,5000-9999,22
17175,No relevent experience,no experience,17
17176,No relevent experience,no experience,132
17177,Has relevent experience,1000-4999,3
17178,Has relevent experience,50-99,23
17179,Has relevent experience,50-99,148
17180,No relevent experience,1000-4999,112
17181,Has relevent experience,50-99,5
17182,Has relevent experience,no experience,270
17183,No relevent experience,no experience,6
17184,Has relevent experience,10000+,28
17185,Has relevent experience,10000+,51
17186,Has relevent experience,500-999,204
17187,No relevent experience,no experience,147
17188,Has relevent experience,100-500,10
17189,Has relevent experience,50-99,116
17190,No relevent experience,10000+,28
17191,No relevent experience,no experience,332
17192,Has relevent experience,1000-4999,109
17193,Has relevent experience,1000-4999,54
17194,No relevent experience,no experience,83
17195,Has relevent experience,100-500,37
17196,Has relevent experience,50-99,8
17197,Has relevent experience,100-500,4
17198,Has relevent experience,no experience,27
17199,No relevent experience,no experience,31
17200,Has relevent experience,10000+,28
17201,Has relevent experience,50-99,40
17202,No relevent experience,no experience,22
17203,Has relevent experience,100-500,43
17204,Has relevent experience,10/49,194
17205,Has relevent experience,100-500,110
17206,Has relevent experience,<10,6
17207,No relevent experience,no experience,216
17208,Has relevent experience,50-99,36
17209,Has relevent experience,500-999,25
17210,Has relevent experience,no experience,109
17211,Has relevent experience,100-500,28
17212,Has relevent experience,50-99,50
17213,Has relevent experience,no experience,13
17214,No relevent experience,no experience,28
17215,No relevent experience,no experience,46
17216,Has relevent experience,10/49,79
17217,No relevent experience,<10,75
17218,Has relevent experience,500-999,210
17219,Has relevent experience,no experience,20
17220,Has relevent experience,500-999,57
17221,Has relevent experience,100-500,116
17222,Has relevent experience,100-500,2
17223,Has relevent experience,10/49,68
17224,Has relevent experience,500-999,152
17225,Has relevent experience,10/49,45
17226,Has relevent experience,10/49,47
17227,No relevent experience,no experience,83
17228,Has relevent experience,1000-4999,47
17229,Has relevent experience,10/49,158
17230,No relevent experience,no experience,50
17231,Has relevent experience,50-99,9
17232,Has relevent experience,1000-4999,26
17233,Has relevent experience,50-99,126
17234,No relevent experience,50-99,55
17235,No relevent experience,no experience,18
17236,Has relevent experience,1000-4999,81
17237,Has relevent experience,<10,24
17238,Has relevent experience,500-999,20
17239,Has relevent experience,10/49,35
17240,Has relevent experience,no experience,43
17241,Has relevent experience,<10,12
17242,No relevent experience,10000+,27
17243,Has relevent experience,50-99,98
17244,Has relevent experience,10000+,29
17245,Has relevent experience,no experience,68
17246,Has relevent experience,100-500,122
17247,No relevent experience,10000+,30
17248,No relevent experience,no experience,94
17249,No relevent experience,no experience,15
17250,Has relevent experience,10000+,11
17251,No relevent experience,no experience,55
17252,Has relevent experience,no experience,49
17253,Has relevent experience,10000+,20
17254,Has relevent experience,100-500,20
17255,Has relevent experience,50-99,44
17256,Has relevent experience,50-99,16
17257,Has relevent experience,50-99,23
17258,No relevent experience,<10,44
17259,Has relevent experience,100-500,57
17260,Has relevent experience,1000-4999,15
17261,Has relevent experience,10/49,45
17262,Has relevent experience,100-500,328
17263,Has relevent experience,10/49,53
17264,No relevent experience,no experience,56
17265,No relevent experience,no experience,74
17266,Has relevent experience,100-500,30
17267,Has relevent experience,no experience,17
17268,No relevent experience,no experience,226
17269,Has relevent experience,50-99,32
17270,No relevent experience,no experience,82
17271,No relevent experience,no experience,136
17272,Has relevent experience,10000+,108
17273,No relevent experience,no experience,108
17274,No relevent experience,no experience,92
17275,Has relevent experience,500-999,66
17276,Has relevent experience,50-99,6
17277,Has relevent experience,10/49,78
17278,Has relevent experience,<10,36
17279,Has relevent experience,10/49,91
17280,Has relevent experience,1000-4999,5
17281,Has relevent experience,<10,15
17282,Has relevent experience,50-99,18
17283,Has relevent experience,100-500,6
17284,Has relevent experience,5000-9999,4
17285,Has relevent experience,50-99,43
17286,Has relevent experience,100-500,91
17287,Has relevent experience,5000-9999,174
17288,Has relevent experience,10000+,56
17289,Has relevent experience,10000+,39
17290,No relevent experience,500-999,84
17291,Has relevent experience,<10,15
17292,Has relevent experience,no experience,54
17293,Has relevent experience,<10,27
17294,Has relevent experience,10/49,10
17295,Has relevent experience,50-99,52
17296,No relevent experience,no experience,13
17297,Has relevent experience,100-500,312
17298,Has relevent experience,50-99,16
17299,Has relevent experience,<10,12
17300,Has relevent experience,<10,53
17301,No relevent experience,no experience,86
17302,Has relevent experience,1000-4999,24
17303,Has relevent experience,500-999,27
17304,Has relevent experience,100-500,58
17305,Has relevent experience,1000-4999,40
17306,Has relevent experience,no experience,18
17307,Has relevent experience,10/49,55
17308,Has relevent experience,<10,30
17309,No relevent experience,<10,57
17310,Has relevent experience,10000+,21
17311,No relevent experience,no experience,56
17312,No relevent experience,50-99,116
17313,Has relevent experience,no experience,45
17314,Has relevent experience,no experience,58
17315,Has relevent experience,100-500,22
17316,No relevent experience,100-500,12
17317,Has relevent experience,500-999,300
17318,Has relevent experience,10000+,43
17319,Has relevent experience,50-99,12
17320,Has relevent experience,10/49,75
17321,No relevent experience,no experience,150
17322,Has relevent experience,500-999,41
17323,Has relevent experience,1000-4999,67
17324,Has relevent experience,no experience,90
17325,Has relevent experience,10000+,13
17326,Has relevent experience,5000-9999,50
17327,Has relevent experience,50-99,72
17328,Has relevent experience,50-99,58
17329,No relevent experience,no experience,78
17330,No relevent experience,50-99,206
17331,Has relevent experience,10000+,14
17332,Has relevent experience,50-99,118
17333,No relevent experience,no experience,7
17334,Has relevent experience,1000-4999,46
17335,No relevent experience,no experience,150
17336,Has relevent experience,10/49,33
17337,Has relevent experience,no experience,24
17338,Has relevent experience,<10,10
17339,Has relevent experience,1000-4999,80
17340,No relevent experience,no experience,14
17341,No relevent experience,<10,20
17342,Has relevent experience,10/49,48
17343,Has relevent experience,50-99,108
17344,No relevent experience,no experience,44
17345,Has relevent experience,100-500,6
17346,Has relevent experience,500-999,23
17347,No relevent experience,no experience,12
17348,Has relevent experience,10000+,14
17349,Has relevent experience,10000+,12
17350,Has relevent experience,no experience,31
17351,No relevent experience,no experience,91
17352,Has relevent experience,no experience,70
17353,Has relevent experience,10000+,78
17354,Has relevent experience,50-99,104
17355,Has relevent experience,1000-4999,57
17356,No relevent experience,no experience,12
17357,Has relevent experience,50-99,145
17358,Has relevent experience,no experience,37
17359,Has relevent experience,10000+,59
17360,Has relevent experience,no experience,62
17361,No relevent experience,1000-4999,140
17362,Has relevent experience,10/49,83
17363,Has relevent experience,1000-4999,96
17364,Has relevent experience,50-99,37
17365,No relevent experience,50-99,28
17366,Has relevent experience,50-99,50
17367,Has relevent experience,10/49,37
17368,No relevent experience,no experience,31
17369,Has relevent experience,1000-4999,161
17370,No relevent experience,no experience,55
17371,Has relevent experience,no experience,65
17372,No relevent experience,50-99,224
17373,Has relevent experience,500-999,45
17374,Has relevent experience,no experience,51
17375,No relevent experience,no experience,54
17376,Has relevent experience,500-999,51
17377,No relevent experience,10000+,20
17378,Has relevent experience,10/49,70
17379,Has relevent experience,100-500,12
17380,Has relevent experience,100-500,48
17381,No relevent experience,no experience,42
17382,Has relevent experience,50-99,54
17383,Has relevent experience,100-500,90
17384,Has relevent experience,100-500,43
17385,Has relevent experience,500-999,326
17386,Has relevent experience,no experience,72
17387,No relevent experience,<10,32
17388,Has relevent experience,no experience,18
17389,Has relevent experience,500-999,64
17390,Has relevent experience,1000-4999,6
17391,Has relevent experience,no experience,112
17392,No relevent experience,no experience,36
17393,Has relevent experience,<10,72
17394,Has relevent experience,50-99,28
17395,No relevent experience,no experience,56
17396,No relevent experience,no experience,52
17397,Has relevent experience,50-99,80
17398,No relevent experience,no experience,53
17399,Has relevent experience,100-500,50
17400,No relevent experience,50-99,28
17401,No relevent experience,no experience,165
17402,Has relevent experience,50-99,25
17403,Has relevent experience,10/49,33
17404,Has relevent experience,10000+,114
17405,No relevent experience,500-999,33
17406,Has relevent experience,50-99,136
17407,No relevent experience,100-500,10
17408,Has relevent experience,no experience,66
17409,No relevent experience,50-99,44
17410,No relevent experience,50-99,35
17411,Has relevent experience,100-500,67
17412,Has relevent experience,<10,18
17413,Has relevent experience,50-99,52
17414,Has relevent experience,500-999,29
17415,Has relevent experience,10000+,20
17416,Has relevent experience,1000-4999,48
17417,No relevent experience,no experience,72
17418,Has relevent experience,<10,23
17419,Has relevent experience,100-500,21
17420,Has relevent experience,no experience,23
17421,Has relevent experience,50-99,26
17422,No relevent experience,no experience,111
17423,Has relevent experience,5000-9999,26
17424,Has relevent experience,100-500,144
17425,Has relevent experience,50-99,23
17426,Has relevent experience,1000-4999,22
17427,Has relevent experience,10/49,328
17428,Has relevent experience,100-500,105
17429,Has relevent experience,100-500,19
17430,Has relevent experience,no experience,55
17431,Has relevent experience,50-99,43
17432,No relevent experience,100-500,74
17433,Has relevent experience,100-500,81
17434,Has relevent experience,10000+,34
17435,Has relevent experience,<10,56
17436,Has relevent experience,1000-4999,71
17437,No relevent experience,1000-4999,113
17438,Has relevent experience,500-999,17
17439,Has relevent experience,10000+,48
17440,Has relevent experience,10000+,23
17441,Has relevent experience,500-999,56
17442,Has relevent experience,10000+,102
17443,Has relevent experience,100-500,26
17444,No relevent experience,no experience,106
17445,No relevent experience,100-500,19
17446,Has relevent experience,10000+,17
17447,Has relevent experience,50-99,80
17448,Has relevent experience,500-999,62
17449,Has relevent experience,1000-4999,52
17450,Has relevent experience,50-99,61
17451,No relevent experience,no experience,32
17452,No relevent experience,no experience,62
17453,Has relevent experience,no experience,18
17454,Has relevent experience,10/49,12
17455,Has relevent experience,50-99,60
17456,No relevent experience,50-99,34
17457,Has relevent experience,50-99,55
17458,Has relevent experience,no experience,26
17459,No relevent experience,no experience,18
17460,No relevent experience,10/49,48
17461,Has relevent experience,10/49,55
17462,Has relevent experience,no experience,14
17463,Has relevent experience,50-99,50
17464,Has relevent experience,10/49,3
17465,No relevent experience,no experience,119
17466,Has relevent experience,no experience,39
17467,Has relevent experience,50-99,84
17468,Has relevent experience,10000+,39
17469,Has relevent experience,50-99,27
17470,No relevent experience,50-99,50
17471,Has relevent experience,no experience,52
17472,Has relevent experience,50-99,298
17473,Has relevent experience,100-500,25
17474,Has relevent experience,50-99,62
17475,Has relevent experience,50-99,18
17476,Has relevent experience,100-500,21
17477,Has relevent experience,50-99,126
17478,Has relevent experience,1000-4999,32
17479,Has relevent experience,10000+,11
17480,Has relevent experience,no experience,53
17481,Has relevent experience,5000-9999,166
17482,No relevent experience,no experience,56
17483,Has relevent experience,no experience,8
17484,No relevent experience,no experience,59
17485,Has relevent experience,10000+,116
17486,Has relevent experience,500-999,60
17487,Has relevent experience,10/49,100
17488,Has relevent experience,5000-9999,10
17489,No relevent experience,500-999,27
17490,No relevent experience,10/49,44
17491,Has relevent experience,50-99,32
17492,Has relevent experience,50-99,26
17493,Has relevent experience,1000-4999,124
17494,Has relevent experience,5000-9999,94
17495,No relevent experience,no experience,56
17496,No relevent experience,no experience,2
17497,Has relevent experience,5000-9999,11
17498,Has relevent experience,<10,122
17499,No relevent experience,no experience,23
17500,No relevent experience,10000+,200
17501,Has relevent experience,50-99,21
17502,No relevent experience,50-99,17
17503,No relevent experience,no experience,29
17504,Has relevent experience,no experience,12
17505,No relevent experience,50-99,78
17506,Has relevent experience,50-99,50
17507,Has relevent experience,10000+,94
17508,Has relevent experience,no experience,128
17509,Has relevent experience,100-500,258
17510,Has relevent experience,no experience,58
17511,Has relevent experience,10000+,109
17512,Has relevent experience,<10,24
17513,No relevent experience,no experience,62
17514,No relevent experience,10000+,6
17515,Has relevent experience,<10,50
17516,Has relevent experience,100-500,46
17517,Has relevent experience,no experience,55
17518,Has relevent experience,10000+,92
17519,No relevent experience,no experience,61
17520,Has relevent experience,10/49,25
17521,Has relevent experience,10/49,82
17522,Has relevent experience,10/49,74
17523,No relevent experience,no experience,4
17524,Has relevent experience,50-99,164
17525,Has relevent experience,10/49,26
17526,Has relevent experience,50-99,90
17527,No relevent experience,no experience,100
17528,No relevent experience,no experience,52
17529,No relevent experience,no experience,88
17530,Has relevent experience,50-99,10
17531,No relevent experience,no experience,102
17532,No relevent experience,no experience,136
17533,Has relevent experience,<10,17
17534,Has relevent experience,1000-4999,42
17535,No relevent experience,50-99,7
17536,No relevent experience,100-500,62
17537,Has relevent experience,1000-4999,34
17538,Has relevent experience,500-999,9
17539,No relevent experience,10000+,6
17540,Has relevent experience,no experience,94
17541,Has relevent experience,no experience,44
17542,Has relevent experience,500-999,9
17543,Has relevent experience,1000-4999,72
17544,Has relevent experience,5000-9999,56
17545,Has relevent experience,no experience,74
17546,Has relevent experience,10/49,105
17547,No relevent experience,no experience,35
17548,Has relevent experience,50-99,96
17549,Has relevent experience,no experience,31
17550,No relevent experience,no experience,28
17551,Has relevent experience,no experience,2
17552,Has relevent experience,1000-4999,55
17553,No relevent experience,no experience,33
17554,Has relevent experience,100-500,29
17555,Has relevent experience,no experience,9
17556,No relevent experience,50-99,160
17557,Has relevent experience,no experience,42
17558,Has relevent experience,100-500,100
17559,Has relevent experience,500-999,18
17560,Has relevent experience,50-99,83
17561,Has relevent experience,<10,36
17562,Has relevent experience,10/49,172
17563,Has relevent experience,100-500,134
17564,Has relevent experience,50-99,168
17565,Has relevent experience,50-99,10
17566,Has relevent experience,10000+,67
17567,No relevent experience,no experience,16
17568,Has relevent experience,100-500,11
17569,Has relevent experience,50-99,6
17570,No relevent experience,5000-9999,34
17571,Has relevent experience,50-99,45
17572,No relevent experience,no experience,124
17573,Has relevent experience,10000+,322
17574,Has relevent experience,<10,7
17575,Has relevent experience,10000+,32
17576,Has relevent experience,100-500,100
17577,Has relevent experience,100-500,10
17578,Has relevent experience,100-500,10
17579,Has relevent experience,100-500,132
17580,Has relevent experience,1000-4999,22
17581,Has relevent experience,50-99,248
17582,Has relevent experience,no experience,104
17583,No relevent experience,1000-4999,25
17584,Has relevent experience,50-99,102
17585,Has relevent experience,10000+,84
17586,No relevent experience,no experience,27
17587,Has relevent experience,<10,38
17588,Has relevent experience,no experience,45
17589,Has relevent experience,10000+,21
17590,Has relevent experience,no experience,88
17591,Has relevent experience,10/49,27
17592,Has relevent experience,5000-9999,136
17593,Has relevent experience,10000+,39
17594,Has relevent experience,50-99,42
17595,Has relevent experience,1000-4999,161
17596,No relevent experience,10/49,127
17597,Has relevent experience,no experience,2
17598,Has relevent experience,no experience,60
17599,Has relevent experience,100-500,10
17600,No relevent experience,5000-9999,36
17601,Has relevent experience,50-99,51
17602,Has relevent experience,50-99,34
17603,No relevent experience,no experience,37
17604,Has relevent experience,50-99,26
17605,Has relevent experience,10000+,111
17606,Has relevent experience,10000+,91
17607,Has relevent experience,100-500,10
17608,Has relevent experience,<10,35
17609,No relevent experience,no experience,49
17610,Has relevent experience,100-500,21
17611,No relevent experience,no experience,17
17612,No relevent experience,no experience,42
17613,Has relevent experience,10/49,42
17614,Has relevent experience,1000-4999,44
17615,No relevent experience,no experience,24
17616,Has relevent experience,no experience,48
17617,No relevent experience,no experience,51
17618,Has relevent experience,10000+,96
17619,Has relevent experience,no experience,192
17620,No relevent experience,500-999,53
17621,No relevent experience,no experience,132
